time,open,high,low,close,diff,%,,,
2020/4/20,83.25,83.5,79.5,80.9,-2.35,-0.028,,,
2020/4/27,82.15,85.5,81.65,85.5,3.35,0.041,,,
2020/5/4,82.4,84.75,82.2,84.35,1.95,0.024,,,
2020/5/11,85,85.4,83.05,83.85,-1.15,-0.014,,,
2020/5/18,83.05,84.8,82.8,82.95,-0.1,-0.001,,,
2020/5/25,83.15,84.9,82.15,84.45,1.3,0.016,,,
2020/6/1,84.45,88.35,84.4,88.35,3.9,0.046,,,
2020/6/8,88.9,90.85,87.1,88.25,-0.65,-0.007,,,
2020/6/15,88.1,89.3,86.9,88.85,0.75,0.009,,,
2020/6/22,88.85,90.5,88.8,90,1.15,0.013,,,
2020/6/29,89.25,92.75,88.65,92.55,3.3,0.037,,,
2020/7/6,93.2,95.85,93.2,94.65,1.45,0.016,,,
2020/7/13,95.4,97.95,95.25,97.2,1.8,0.019,,,
2020/7/20,97.2,100.1,96.25,98.5,1.3,0.013,,,
2020/7/27,101.8,108.7,101.8,103.8,2,0.02,,,
2020/8/3,103.45,105.95,102,104.65,1.2,0.012,,,
2020/8/10,104.1,105.85,103,104.5,0.4,0.004,,,
2020/8/17,104.5,105.9,98.7,102.8,-1.7,-0.016,,,
2020/8/24,102.85,105.7,102.3,103.5,0.65,0.006,,,
2020/8/31,104.1,104.3,101.8,102.55,-1.55,-0.015,,,
2020/9/7,102.55,103.35,101.15,103.25,0.7,0.007,,,
2020/9/14,103.5,107,103.25,105.3,1.8,0.017,,,
2020/9/21,105.2,105.9,100.05,100.65,-4.55,-0.043,,,
2020/9/28,101.35,103.45,101,103,1.65,0.016,,,
2020/10/5,103.45,106.35,103,106.2,2.75,0.027,,,
2020/10/12,106.7,107.7,105.1,105.25,-1.45,-0.014,,,
2020/10/19,105.65,106.65,105.5,106.1,0.45,0.004,,,
2020/10/26,106.1,106.6,102.7,103,-3.1,-0.029,,,
2020/11/2,103.15,107.05,102.3,106.7,3.55,0.034,,,
2020/11/9,107.75,109.4,106.8,109.25,1.5,0.014,,,
2020/11/16,110.4,115.75,110.4,114,3.6,0.033,,,
2020/11/23,114.65,115.95,113.9,114.65,0,0,,,
2020/11/30,114.8,117.45,113.3,117.3,2.5,0.022,,,
2020/12/7,118.5,120.2,117.25,118.75,0.25,0.002,,,
2020/12/14,118.65,119.3,116.75,118.2,-0.45,-0.004,,,
2020/12/21,118.25,119.6,117.5,118.95,0.7,0.006,,,
2020/12/28,119.05,122.4,119.05,122.25,3.2,0.027,,,
2021/1/4,122.2,131.25,122,131.2,9,0.074,,,
2021/1/11,131.2,138,130.5,134.5,3.3,0.025,,,
2021/1/18,134.6,143.25,132.1,137.45,2.85,0.021,,,
2021/1/25,137.2,137.3,128.2,128.2,-9,-0.066,,,
2021/2/1,128.2,136.3,127.55,134.8,6.6,0.051,,,
2021/2/17,139,141.25,137.6,138.85,-0.15,-0.001,,,
2021/2/22,139.8,140.75,133.3,133.4,-6.4,-0.046,,,
2021/3/2,135.5,135.65,129.5,131.95,-3.55,-0.026,,,
2021/3/8,133.75,135.65,129.75,135.25,1.5,0.011,,,
2021/3/15,135.25,136.05,132.3,132.8,-2.45,-0.018,,,
2021/3/22,132.4,134.7,130.6,134.35,1.95,0.015,,,
2021/3/29,135.2,136.05,134.6,135.75,0.55,0.004,,,
2021/4/6,138.3,138.9,136.65,137.95,-0.35,-0.003,,,
2021/4/12,138.05,139.25,136.05,139.25,1.2,0.009,,,
2021/4/19,139.25,139.75,137.4,139.15,-0.1,-0.001,,,
2021/4/26,140,142,139.9,140.6,0.6,0.004,,,
2021/5/3,140.4,140.4,135,139.4,-1,-0.007,,,
2021/5/10,139.5,139.5,121.2,128.95,-10.55,-0.076,,,
2021/5/17,125.2,133.85,124.7,132.35,7.15,0.057,,,
2021/5/24,131.55,135.9,131.15,135.8,4.25,0.032,,,
2021/5/31,135.8,138.45,135.8,136.95,1.15,0.008,,,
2021/6/7,137.2,138.5,134.65,138.1,0.9,0.007,,,
2021/6/15,138.6,139,137.15,138,-0.6,-0.004,,,
2021/6/21,136.9,137.95,134.5,136.95,0.05,0,,,
2021/6/28,137,139.35,136.5,138.3,1.3,0.009,,,
2021/7/5,138.75,140.05,136.95,137.75,-1,-0.007,,,
2021/7/12,139.05,141.85,138.55,139.9,0.85,0.006,,,
2021/7/19,139,139.2,136.1,137.65,-1.35,-0.01,,,
2021/7/26,137.75,138.05,133.75,136.05,-1.7,-0.012,,,
2021/8/2,137,139.45,136.05,138.8,1.8,0.013,,,
2021/8/9,138.2,138.55,135.55,135.65,-2.55,-0.018,,,
2021/8/16,135.5,135.75,130.2,130.75,-4.75,-0.035,,,
2021/8/23,132.25,138.5,132.15,138.15,5.9,0.045,,,
2021/8/30,138.65,142.1,138.1,141.9,3.25,0.023,,,
2021/9/6,141.9,143.5,139.3,141.95,0.05,0,,,
2021/9/13,141.85,142.2,139.5,140.5,-1.35,-0.01,,,
2021/9/22,137.1,139.65,136.3,139.65,2.55,0.019,,,
2021/9/27,139.85,140.35,133.65,133.95,-5.9,-0.042,,,
2021/10/4,134.7,135.65,130.9,134.2,-0.5,-0.004,,,
2021/10/12,132.7,136.35,131.6,136.25,3.55,0.027,,,
2021/10/18,136.7,137.8,135.6,136.5,-0.2,-0.001,,,
2021/10/25,136,137.75,135.2,135.8,-0.2,-0.001,,,
2021/11/1,136.2,138.2,136.15,138.1,1.9,0.014,,,
2021/11/8,138.2,141.2,138.2,139.7,1.5,0.011,,,
2021/11/15,140.55,143.55,140.55,142.8,2.25,0.016,,,
2021/11/22,142.7,142.9,137.95,138.15,-4.55,-0.032,,,
2021/11/29,137.6,142.15,137.5,141.75,4.15,0.03,,,
2021/12/6,140.7,143.6,140,141.95,1.25,0.009,,,
2021/12/13,142.2,142.45,139.7,141.9,-0.3,-0.002,,,
2021/12/20,141.8,143.6,140.3,143.05,1.25,0.009,,,
2021/12/27,143.2,146.15,143.1,145.5,2.3,0.016,,,
2022/1/3,146,150.55,146,146.6,0.6,0.004,,,
2022/1/10,146,151.2,145.4,150.3,4.3,0.029,,,
2022/1/17,151.1,152.4,142.3,142.65,-8.45,-0.056,,,
2022/1/24,142.1,144,141.05,141.55,-0.55,-0.004,,,
2022/2/7,142.6,145.05,141.2,144.95,2.35,0.016,,,
2022/2/14,143.95,145,141.95,144.1,0.15,0.001,,,
2022/2/21,143.45,143.85,137.85,138.5,-4.95,-0.035,,,
2022/3/1,139.05,140.8,137.95,138.45,-0.6,-0.004,,,
2022/3/7,136.9,136.9,131,134.4,-2.5,-0.018,,,
2022/3/14,135,136.6,131.1,136.1,1.1,0.008,,,
2022/3/21,136.8,138.5,136.3,138.2,1.4,0.01,,,
2022/3/28,137,138.7,135.55,136.95,-0.05,0,,,
2022/4/6,135.25,136.35,133.75,134.55,-0.7,-0.005,,,
2022/4/11,134.15,135.75,131.6,132.25,-1.9,-0.014,,,
2022/4/18,132,133.6,130.85,131.6,-0.4,-0.003,,,
2022/4/25,130,130.05,125.95,128.75,-1.25,-0.01,,,
2022/5/3,128.55,129.8,125.95,126.65,-1.9,-0.015,,,
2022/5/9,125.5,125.55,121.2,122.35,-3.15,-0.025,,,
2022/5/16,123.45,126,122.5,124.65,1.2,0.01,,,
2022/5/23,125.3,125.8,122.85,125.5,0.2,0.002,,,
2022/5/30,127.25,130.05,127.05,127.8,0.55,0.004,,,
2022/6/6,128.25,129.1,126.4,127.1,-1.15,-0.009,,,
2022/6/13,124.1,125,120.4,120.85,-3.25,-0.026,,,
2022/6/20,120.9,122.2,117.25,118.15,-2.75,-0.023,,,
2022/6/27,119.8,121.45,111.2,111.55,-8.25,-0.069,,,
2022/7/4,111.25,113.9,108.45,113.25,2,0.018,,,
2022/7/11,113.65,115.65,109.15,115.5,1.85,0.016,,,
2022/7/18,114.65,117.2,113.6,116.8,2.15,0.019,,,
2022/7/25,116.3,118.5,115.15,118,1.7,0.015,,,
2022/8/1,118.1,119.5,115.1,119.5,1.4,0.012,,,
2022/8/8,119,121,117.5,120.8,1.8,0.015,,,
2022/8/15,121.45,122.3,120.9,121.55,0.1,0.001,,,
2022/8/22,120,120.25,117.65,119.6,-0.4,-0.003,,,
2022/8/29,116.25,117.6,113.85,113.9,-2.35,-0.02,,,
2022/9/5,114.1,115.4,112.1,113,-1.1,-0.01,,,
2022/9/12,115.3,116.4,112.3,112.55,-2.75,-0.024,,,
2022/9/19,112.95,113.15,109.35,109.7,-3.25,-0.029,,,
2022/9/26,108.05,108.05,103,103.45,-4.6,-0.043,,,
2022/10/3,102.5,108,102.05,106.2,3.7,0.036,,,
2022/10/11,102,102.3,99,101.85,-0.15,-0.001,,,
2022/10/17,99.95,101.55,97.35,98.9,-1.05,-0.011,,,
2022/10/24,100.75,100.8,96.5,97.75,-3,-0.03,,,
2022/10/31,98.85,100.05,97.5,98.85,0,0,,,
2022/11/7,99.8,109,99.55,109,9.2,0.092,,,
2022/11/14,109.8,115.85,109.4,114.25,4.45,0.041,,,
2022/11/21,114.35,116.95,113.05,116.7,2.35,0.021,,,
2022/11/28,114.6,119.5,113.1,117.3,2.7,0.024,,,
2022/12/5,117.3,118.5,112.45,115,-2.3,-0.02,,,
2022/12/12,114.2,115.05,112.25,113,-1.2,-0.011,,,
2022/12/19,112.35,112.95,110.05,110.7,-1.65,-0.015,,,
2022/12/26,110.8,112.25,108.4,110.2,-0.6,-0.005,,,
2023/1/3,109.6,112.2,108.45,111.8,2.2,0.02,,,
2023/1/9,114,118.6,113.9,117.2,3.2,0.028,,,
2023/1/16,118.1,118.55,117.8,118.1,0,0,,,
2023/1/30,120.8,121.2,118.3,121,0.2,0.002,,,
2023/2/6,120.1,121.1,118.55,121,0.9,0.007,,,
2023/2/13,120.7,121.8,118.4,118.75,-1.95,-0.016,,,
2023/2/20,118.55,120.1,117.1,118.8,0.25,0.002,,,
